province_name_th,province_name_en,region,g1_energy,g2_water,g3_population,g4_education,g5_flood,g6_industrial,g7_highway,raw_mw,raw_water_sources,raw_population,raw_education,raw_flood_zone,raw_industrial,raw_boi,gate_passed_count,gate_status,lat,lng
นครศรีธรรมราช,Nakhon Si Thammarat,South,1,0,1,1,1,0,ไม่มีข้อมูล,1020.0,0,1538587,23,ปานกลาง,0,0,4,PASS,8.4304,99.9631
กระบี่,Krabi,South,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,483255,6,ต่ำ,0,0,2,FAIL,8.0863,98.9063
พังงา,Phang Nga,South,0,0,0,1,0,0,ไม่มีข้อมูล,0.0,0,265590,6,ไม่ระบุ,0,0,1,FAIL,8.4511,98.5253
ภูเก็ต,Phuket,South,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,377377,7,ต่ำ,0,0,2,FAIL,7.8804,98.3923
สุราษฎร์ธานี,Surat Thani,South,0,1,1,1,1,0,ไม่มีข้อมูล,9.9,2,1074127,14,ปานกลาง,0,0,4,PASS,9.1382,99.3214
ระนอง,Ranong,South,0,0,0,1,0,0,ไม่มีข้อมูล,0.0,0,223224,5,ไม่ระบุ,0,0,1,FAIL,9.9529,98.6083
ชุมพร,Chumphon,South,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,443541,10,ต่ำ,0,0,2,FAIL,10.493,99.18
สงขลา,Songkhla,South,0,1,1,1,1,1,ไม่มีข้อมูล,59.0,2,1429761,22,ปานกลาง,3,0,5,PASS,7.1756,100.6143
สตูล,Satun,South,0,0,0,1,1,0,ไม่มีข้อมูล,0.0,0,332205,5,ต่ำ,0,0,2,FAIL,6.6238,100.0674
ตรัง,Trang,South,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,615140,14,ต่ำ,0,0,3,PASS,7.5591,99.6113
พัทลุง,Phatthalung,South,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,526453,7,ต่ำ,0,0,3,PASS,7.6166,100.074
ปัตตานี,Pattani,South,0,1,1,1,1,0,ไม่มีข้อมูล,23.0,1,739857,10,ต่ำ-ปานกลาง,0,0,4,PASS,6.8695,101.2503
ยะลา,Yala,South,0,0,1,1,1,0,ไม่มีข้อมูล,23.0,0,552146,13,ต่ำ-ปานกลาง,0,0,3,PASS,6.5407,101.2803
นราธิวาส,Narathiwat,South,0,0,1,1,1,0,ไม่มีข้อมูล,0.0,0,818560,5,ปานกลาง,0,0,3,PASS,6.4254,101.8253
